"","Date","Away","","Home","","Time/Status","Links"
"77","Sep. 7","Macalester",0,"Carleton",41,"Final","BX"
"78","Sep. 7","Southwestern",47,"Sewanee",7,"Final","BX                 RC"
"79","Sep. 7","Finlandia",7,"Concordia (Wis.)",38,"Final","BX                    PH"
"80","Sep. 7","Martin Luther",19,"Gustavus Adolphus",50,"Final","BX"
"81","Sep. 7","Crown",14,"St. Olaf",45,"Final","BX                 RC"
"82","Sep. 7","Augsburg",36,"Ripon",26,"Final","BX"
"83","Sep. 7","Lawrence",28,"Grinnell",0,"Final","BX"
"84","Sep. 7","Howard Payne",48,"Austin",34,"Final","BX"
"85","Sep. 7","Carroll",44,"Lakeland",34,"Final","BX"
"86","Sep. 7","St. Norbert",40,"Aurora",50,"Final","BX                 RC                               PH"
"87","Sep. 7","Westminster (Mo.)",35,"Nebraska Wesleyan",49,"Final","BX"
"88","Sep. 7","Luther",26,"Whittier",38,"Final","BX"
"89","Sep. 7","Whitworth",50,"La Verne",24,"Final","BX                 RC                                             PH"
"90","Sep. 7","Loras",3,"UW-Eau Claire",35,"Final","BX                                  PH"
"91","Sep. 7","Rockford",35,"MacMurray",25,"Final","BX                 RC              RC"
"92","Sep. 7","Claremont-Mudd-Scripps",17,"Puget Sound",21,"Final","BX                    PH"
"93","Sep. 7","Heidelberg",57,"Adrian",7,"Final","BX"
"94","Sep. 7","Defiance",6,"Albion",56,"Final","BX                    PH"
"95","Sep. 7","Widener",38,"Rowan",28,"Final","BX"
"96","Sep. 7","Moravian",20,"King's",23,"Final","BX"
"97","Sep. 7","Birmingham-Southern",14,"LaGrange",29,"Final","BX"
"98","Sep. 7","North Park",21,"Anderson",34,"Final","BX                    PH"
"99","Sep. 7","Concordia-Chicago",44,"Beloit",6,"Final","BX                 RC"
"100","Sep. 7","St. Lawrence",14,"Utica",40,"Final","BX"
"101","Sep. 7","Marietta",41,"Hiram",0,"Final","BX                 RC"
"102","Sep. 7","Case Western Reserve",37,"Rochester",6,"Final","BX                 RC              RC                               PH"
"103","Sep. 7","Ohio Northern",13,"Denison",42,"Final","BX                                  PH              PH"
"104","Sep. 7","Olivet",20,"Wilmington",17,"Final","BX                 RC                 PH"
"105","Sep. 7","Franklin",25,"Benedictine",26,"Final","BX                 RC"
"106","Sep. 7","Washington U.",43,"Chicago",7,"Final","BX                 RC                               PH"
"107","Sep. 7","Knox",28,"Eureka",42,"Final","BX                    PH"
"108","Sep. 7","Lyon",20,"Hendrix",28,"Final","BX"
"109","Sep. 7","Louisiana College",13,"Stetson",58,"Final",""
"110","Sep. 7","UW-River Falls",45,"Minnesota-Morris",7,"Final","BX"
"111","Sep. 7","Rhodes",7,"Illinois College",22,"Final","BX"
"112","Sep. 7","Iowa Wesleyan",6,"Cornell",33,"Final","BX"
